price,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities_Kitchen,amenities_Wifi,amenities_Smoke alarm,amenities_Essentials,amenities_Hot water,amenities_Hair dryer,amenities_Dishes and silverware,amenities_Hangers,amenities_Cooking basics,amenities_Bed linens,amenities_Iron,amenities_Refrigerator,amenities_Heating,amenities_Microwave,amenities_TV
$258.00,Bordeaux Sud,autre,Entire home/apt,4,1.0,2.0,3.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
$115.00,Saint-Mdard-en-Jalles,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
$210.00,Chartrons - Grand Parc - Jardin Public,Entire rental unit,Entire home/apt,3,1.5,1.0,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
$249.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,6,1.0,2.0,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
$99.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
$90.00,Bgles,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0
$31.00,Chartrons - Grand Parc - Jardin Public,Private room in rental unit,Private room,1,1.0,1.0,1.0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0
$75.00,Talence,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
$120.00,Talence,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
$280.00,Le Bouscat,Entire townhouse,Entire home/apt,12,2.0,6.0,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
$100.00,Bordeaux Sud,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
$239.00,Chartrons - Grand Parc - Jardin Public,Entire home,Entire home/apt,5,2.0,3.0,3.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
$110.00,Centre ville (Bordeaux),Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0
$150.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
$29.00,Bordeaux Sud,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
,Bordeaux Sud,Private room in rental unit,Private room,2,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
$103.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0
$70.00,Saint Augustin - Tauzin - Alphonse Dupeux,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
$96.00,Bordeaux Sud,Entire rental unit,Entire home/apt,3,1.5,3.0,4.0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0
,Caudran,Private room in home,Private room,2,,,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
$49.00,Saint Augustin - Tauzin - Alphonse Dupeux,Private room in home,Private room,2,1.0,1.0,1.0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0
$121.00,Nansouty - Saint Gens,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1
